source,rank,singular_value,var_frac
head-adapt,61,2.056596,0.00349
head-adapt,62,2.039245,0.003431
head-adapt,63,2.025398,0.003385
head-adapt,64,2.024147,0.003381
head-adapt,65,2.007911,0.003327
head-adapt,66,1.993396,0.003279
head-adapt,67,1.97716,0.003225
head-adapt,68,1.953921,0.00315
head-adapt,69,1.948353,0.003132
head-adapt,70,1.931343,0.003078
head-adapt,71,1.918105,0.003036
head-adapt,72,1.907515,0.003002
head-adapt,73,1.879611,0.002915
head-adapt,74,1.855697,0.002841
head-adapt,75,1.852108,0.00283
head-adapt,76,1.84798,0.002818
head-adapt,77,1.812918,0.002712
head-adapt,78,1.805224,0.002689
head-adapt,79,1.785488,0.00263
head-adapt,80,1.78178,0.002619
head-adapt,81,1.766128,0.002574
head-adapt,82,1.760736,0.002558
head-adapt,83,1.745678,0.002514
head-adapt,84,1.732852,0.002478
head-adapt,85,1.723352,0.00245
head-adapt,86,1.706076,0.002402
head-adapt,87,1.693438,0.002366
head-adapt,88,1.672333,0.002308
head-adapt,89,1.66935,0.002299
head-adapt,90,1.66072,0.002276
head-adapt,91,1.649335,0.002244
head-adapt,92,1.623441,0.002175
head-adapt,93,1.616195,0.002155
head-adapt,94,1.605213,0.002126
head-adapt,95,1.599635,0.002111
head-adapt,96,1.594295,0.002097
head-adapt,97,1.584915,0.002073
head-adapt,98,1.581642,0.002064
head-adapt,99,1.567637,0.002028
head-adapt,100,1.551104,0.001985
head-adapt,101,1.549622,0.001981
head-adapt,102,1.543574,0.001966
head-adapt,103,1.520922,0.001909
head-adapt,104,1.505161,0.001869
head-adapt,105,1.501165,0.001859
head-adapt,106,1.492207,0.001837
head-adapt,107,1.481655,0.001811
head-adapt,108,1.466833,0.001775
head-adapt,109,1.462705,0.001765
head-adapt,110,1.45492,0.001747
head-adapt,111,1.446349,0.001726
head-adapt,112,1.435297,0.0017
head-adapt,113,1.425735,0.001677
head-adapt,114,1.408872,0.001638
head-adapt,115,1.405719,0.00163
head-adapt,116,1.399416,0.001616
head-adapt,117,1.391689,0.001598
head-adapt,118,1.384426,0.001581
head-adapt,119,1.371753,0.001553
head-adapt,120,1.364879,0.001537
head-adapt,121,1.355318,0.001516
head-adapt,122,1.347931,0.001499
head-adapt,123,1.344939,0.001492
head-adapt,124,1.338888,0.001479
head-adapt,125,1.337873,0.001477
head-adapt,126,1.333602,0.001467
head-adapt,127,1.328074,0.001455
head-adapt,128,1.31556,0.001428
head-adapt,129,1.303831,0.001403
head-adapt,130,1.298935,0.001392
head-adapt,131,1.287485,0.001368
head-adapt,132,1.284277,0.001361
head-adapt,133,1.28071,0.001353
