path,success,hmargin,diralign
ceiling,1,85,0.30815
ceiling,1,-68,0.20733
ceiling,1,-37,0.29006
ceiling,1,-20,0.21174
ceiling,1,-30,0.29241
ceiling,1,31,0.29453
ceiling,1,12,0.26031
ceiling,1,51,0.31834
ceiling,1,30,0.25007
ceiling,1,57,0.30861
ceiling,1,62,0.28746
ceiling,1,36,0.26129
ceiling,1,37,0.2982
ceiling,1,-12,0.28296
ceiling,1,35,0.326
ceiling,1,-24,0.27582
ceiling,1,-29,0.20147
ceiling,1,6,0.27711
ceiling,1,-31,0.29044
ceiling,1,-50,0.27678
ceiling,1,2,0.30255
ceiling,1,-12,0.26378
ceiling,1,-7,0.33624
ceiling,1,-60,0.28817
ceiling,1,-15,0.28707
ceiling,1,-43,0.30323
ceiling,1,-20,0.29919
ceiling,1,-31,0.26056
ceiling,1,4,0.33068
ceiling,1,-24,0.28358
ceiling,1,-6,0.32877
ceiling,1,24,0.25116
ceiling,1,74,0.23104
ceiling,1,82,0.30756
ceiling,1,-6,0.30841
ceiling,1,-43,0.27022
ceiling,1,32,0.34057
ceiling,1,-12,0.34899
ceiling,1,43,0.33562
ceiling,1,74,0.2782
ceiling,1,-20,0.28766
ceiling,1,38,0.33439
ceiling,1,-14,0.30168
ceiling,1,24,0.33679
ceiling,1,118,0.32347
ceiling,1,36,0.298
ceiling,1,-41,0.20079
ceiling,1,49,0.3238
ceiling,1,6,0.30104
ceiling,0,-84,0.12736
ceiling,1,-8,0.29986
ceiling,1,-11,0.26323
ceiling,1,-35,0.27327
ceiling,1,47,0.30484
ceiling,1,-9,0.27368
ceiling,1,-16,0.28607
ceiling,1,29,0.26418
ceiling,0,-87,0.20088
ceiling,0,-78,0.0825
ceiling,1,-2,0.29055
ceiling,1,14,0.31325
ceiling,1,6,0.24571
ceiling,0,-129,0.19994
ceiling,1,16,0.22693
ceiling,1,9,0.31522
ceiling,1,-39,0.263
ceiling,1,-10,0.27291
ceiling,0,-147,0.18874
ceiling,1,-11,0.24498
ceiling,1,27,0.26684
ceiling,1,-16,0.28164
ceiling,0,-99,0.17598
ceiling,1,-60,0.21529
ceiling,1,-12,0.27992
ceiling,1,-1,0.31554
ceiling,1,-6,0.22623
ceiling,1,-29,0.2685
ceiling,1,-2,0.31338
ceiling,1,-34,0.26616
ceiling,1,34,0.31567
ceiling,1,15,0.31071
ceiling,1,9,0.33615
ceiling,1,34,0.33946
ceiling,1,-39,0.2621
ceiling,1,-6,0.26807
ceiling,0,-119,0.20598
ceiling,1,83,0.35533
ceiling,0,-57,0.2067
ceiling,1,11,0.32273
ceiling,1,-8,0.29267
ceiling,0,-94,0.23071
ceiling,1,-24,0.26034
ceiling,1,-67,0.24123
ceiling,0,-61,0.24304
ceiling,0,-55,0.25447
ceiling,1,102,0.33924
ceiling,1,72,0.29565
ceiling,1,-52,0.24151
ceiling,1,-11,0.25862
ceiling,0,-60,0.26292
ceiling,1,-5,0.30848
ceiling,1,-53,0.26525
ceiling,1,-56,0.28319
ceiling,0,-46,0.30356
ceiling,1,15,0.28465
ceiling,1,-10,0.25944
ceiling,1,-14,0.31374
ceiling,1,5,0.3083
ceiling,1,-45,0.23393
ceiling,1,-2,0.30694
ceiling,1,35,0.29485
ceiling,0,-117,0.22129
ceiling,0,-156,0.20297
ceiling,1,1,0.22107
ceiling,0,-66,0.23535
ceiling,0,-102,0.24617
ceiling,1,-13,0.23521
ceiling,0,-95,0.19529
ceiling,0,-82,0.19905
ceiling,1,-64,0.29204
ceiling,1,80,0.32124
ceiling,1,49,0.28174
ceiling,1,-61,0.30719
ceiling,1,-26,0.23304
ceiling,1,17,0.28732
ceiling,1,-17,0.30372
ceiling,1,-46,0.25267
ceiling,1,-25,0.26696
ceiling,1,72,0.31535
ceiling,1,25,0.33502
ceiling,0,-96,0.22398
ceiling,1,-56,0.19443
ceiling,1,64,0.3322
ceiling,1,33,0.24478
ceiling,1,-42,0.25062
ceiling,1,95,0.30817
ceiling,1,0,0.31647
ceiling,1,-16,0.29266
ceiling,1,-6,0.27291
ceiling,1,46,0.31799
