path,bit,flip_frac
distillation,735,0.1128
distillation,736,0.1242
distillation,737,0.1458
distillation,738,0.1308
distillation,739,0.1396
distillation,740,0.1448
distillation,741,0.1488
distillation,742,0.1228
distillation,743,0.1554
distillation,744,0.1306
distillation,745,0.1344
distillation,746,0.1318
distillation,747,0.1368
distillation,748,0.1286
distillation,749,0.1382
distillation,750,0.1198
distillation,751,0.1322
distillation,752,0.1406
distillation,753,0.141
distillation,754,0.1464
distillation,755,0.1206
distillation,756,0.1308
distillation,757,0.1426
distillation,758,0.1354
distillation,759,0.133
distillation,760,0.1326
distillation,761,0.1316
distillation,762,0.138
distillation,763,0.141
distillation,764,0.1348
distillation,765,0.1328
distillation,766,0.1578
distillation,767,0.1402
distillation,768,0.1254
distillation,769,0.1528
distillation,770,0.1454
distillation,771,0.1322
distillation,772,0.1176
distillation,773,0.1488
distillation,774,0.1326
distillation,775,0.1324
distillation,776,0.1208
distillation,777,0.1414
distillation,778,0.1418
distillation,779,0.1368
distillation,780,0.1394
distillation,781,0.1264
distillation,782,0.1136
distillation,783,0.131
distillation,784,0.1424
distillation,785,0.1068
distillation,786,0.1544
distillation,787,0.1316
distillation,788,0.1258
distillation,789,0.1396
distillation,790,0.151
distillation,791,0.1168
distillation,792,0.1348
distillation,793,0.1606
distillation,794,0.1516
distillation,795,0.119
distillation,796,0.1268
distillation,797,0.1316
distillation,798,0.1418
distillation,799,0.1524
distillation,800,0.1248
distillation,801,0.138
distillation,802,0.1434
distillation,803,0.1154
distillation,804,0.133
distillation,805,0.135
distillation,806,0.159
distillation,807,0.1264
distillation,808,0.1234
distillation,809,0.1142
distillation,810,0.1358
distillation,811,0.144
distillation,812,0.1312
distillation,813,0.1476
distillation,814,0.1426
distillation,815,0.1228
distillation,816,0.1214
distillation,817,0.1464
distillation,818,0.1472
distillation,819,0.1432
distillation,820,0.1122
distillation,821,0.134
distillation,822,0.1154
distillation,823,0.1476
distillation,824,0.1092
distillation,825,0.1214
distillation,826,0.1348
distillation,827,0.155
distillation,828,0.1322
distillation,829,0.1218
distillation,830,0.1194
distillation,831,0.126
distillation,832,0.1246
distillation,833,0.1266
distillation,834,0.1222
distillation,835,0.1142
distillation,836,0.1302
distillation,837,0.1272
distillation,838,0.1316
distillation,839,0.1306
distillation,840,0.1408
distillation,841,0.1182
distillation,842,0.13
distillation,843,0.1438
distillation,844,0.1502
distillation,845,0.146
distillation,846,0.1306
distillation,847,0.1304
distillation,848,0.1414
distillation,849,0.146
distillation,850,0.1238
distillation,851,0.1338
distillation,852,0.1468
distillation,853,0.1402
distillation,854,0.1332
distillation,855,0.1478
distillation,856,0.1224
distillation,857,0.1388
distillation,858,0.132
distillation,859,0.1282
distillation,860,0.1264
distillation,861,0.1206
distillation,862,0.1214
distillation,863,0.1334
distillation,864,0.1392
distillation,865,0.1374
distillation,866,0.1496
distillation,867,0.1302
distillation,868,0.139
distillation,869,0.1306
distillation,870,0.1218
distillation,871,0.1386
distillation,872,0.1396
distillation,873,0.1486
distillation,874,0.1382
distillation,875,0.1168
distillation,876,0.1332
distillation,877,0.122
distillation,878,0.1246
distillation,879,0.1232
distillation,880,0.1254
distillation,881,0.1508
distillation,882,0.1144
distillation,883,0.1358
distillation,884,0.1328
distillation,885,0.1368
distillation,886,0.1476
distillation,887,0.1212
distillation,888,0.128
distillation,889,0.1504
distillation,890,0.1304
distillation,891,0.1318
distillation,892,0.1218
distillation,893,0.1136
distillation,894,0.1268
distillation,895,0.1356
distillation,896,0.1388
distillation,897,0.1472
distillation,898,0.1204
distillation,899,0.1412
distillation,900,0.1314
distillation,901,0.119
distillation,902,0.1392
distillation,903,0.1276
distillation,904,0.1372
distillation,905,0.139
distillation,906,0.1368
distillation,907,0.1186
distillation,908,0.1326
